id,text,associated_user,lang,time_zone,geolocation,recorded_at,occurred_at
81,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,59776880,en,London,,2016-10-10 22:20:41.029215,2016-10-10 22:20:40
82,RT @acgrayling: So even Leavers want a Parliamentary debate. Good. https://t.co/nQqPwzro6Y,197732739,en,,,2016-10-10 22:20:41.486827,2016-10-10 22:20:41
83,"RT @polnyypesets: I would *really* like a Brexiter to explain WHY we are doing this? 

And please don't say 'will of the people'!

Ho… ",280459733,en,Amsterdam,,2016-10-10 22:20:46.495086,2016-10-10 22:20:46
84,"RT @ottocrat: You know, in some cultures, those responsible would commit public seppuku. https://t.co/ub2pwSOpUQ",2765141945,en,,,2016-10-10 22:20:46.793517,2016-10-10 22:20:46
85,RT @inthesticks: Emily Thornberry talking nonsense again. Trying to take away the #brexit decision from the British people and give it to M…,3196660713,en,,,2016-10-10 22:20:47.295676,2016-10-10 22:20:47
86,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,528820859,en,London,,2016-10-10 22:20:49.523568,2016-10-10 22:20:49
87,RT @meljomur: It's quite telling that Scottish unionists would rather focus on American politics than the catastrophe happening right here…,502274846,en,,,2016-10-10 22:20:51.274267,2016-10-10 22:20:51
88,"RT @CityJohn: Take. Back. Control. As your country collapses around you. Still, taught that Romanian care home worker a valuable… ",416496682,en,London,,2016-10-10 22:20:51.438264,2016-10-10 22:20:51
89,RT @OwenSmith_MP: David Davis used to support giving the British people the final say on terms of Brexit. When did he change his mind… ,184786812,en,Europe/London,,2016-10-10 22:20:52.017131,2016-10-10 22:20:51
90,RT @AABenedetti: Por lo menos los uribistas que hicieron pasar el Brexit y que ganara el NO en el plebiscito van perdiendo con Donal… ,2427582236,es,,,2016-10-10 22:20:53.191306,2016-10-10 22:20:52
91,"RT @DavidJo52951945: Fishermen furious with Theresa May for adopting EU law, we should reopen UK fisheries immediately https://t.co/U1BcavG…",37972904,en,London,,2016-10-10 22:20:54.618716,2016-10-10 22:20:54
92,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,56535921,en,Casablanca,,2016-10-10 22:20:55.735103,2016-10-10 22:20:55
93,RT @_DaisyBenson: So true. https://t.co/AAsCzKsOnC,1148079204,en,Casablanca,,2016-10-10 22:20:56.975546,2016-10-10 22:20:56
94,"RT @acgrayling: Because 'soft #Brexit' is #Remain with less influence, it's worse than useless. Remain is the only viable option;  'Hard' i…",330586611,en,,,2016-10-10 22:20:57.437423,2016-10-10 22:20:57
95,"RT @ITrustInSNP: The arrogance of Tories, still think European/World countries should bow to Imperialist England. https://t.co/wjP2IIvfwP",267342218,en,,,2016-10-10 22:21:01.237567,2016-10-10 22:21:01
96,RT @Kevin_Maguire: Monday so doing @SkyNews papers with a tin pot dictator @toryboypierce    who is against MPs voting on Brexit terms. Wha…,37779837,en,Edinburgh,,2016-10-10 22:21:01.248751,2016-10-10 22:21:01
97,RT @eldia: Consecuencias del Brexit: ¿Adiós a Iberia? Por @FPomares_R https://t.co/MmGKcGuNxN,300161297,es,Pacific Time (US & Canada),,2016-10-10 22:21:02.109313,2016-10-10 22:21:01
98,RT @larsloekke: Great to welcome @Theresa_May in Denmark. We have to maintain strong ties  between our two nations after #Brexit… ,1145390978,en,,,2016-10-10 22:21:02.246962,2016-10-10 22:21:02
99,"RT @polnyypesets: Brexit: voting to 'take back' what we had never lost, in order to lose everything we had.

Madness.",311549242,en,,,2016-10-10 22:21:02.834458,2016-10-10 22:21:02
100,RT @RupertMyers: When he realised they might find his negotiated outcome to be dismal https://t.co/Uu9JkNX3WK,2148296861,en,Casablanca,,2016-10-10 22:21:03.195604,2016-10-10 22:21:02
101,RT @SkyNews: TIMES FRONT PAGE 'Hard Brexit could cost £66bn a year' #skypapers https://t.co/D4MMPjdfAY,365970848,en,London,,2016-10-10 22:21:03.643356,2016-10-10 22:21:03
102,RT @TheScotsman: Second independence referendum could cause 'more instability than Brexit' says JIm Gallagher of Glasgow Uni… ,49396738,en,Casablanca,,2016-10-10 22:21:03.976184,2016-10-10 22:21:03
103,"RT @BBCNews: Tuesday's Times front page:
""Hard Brexit could cost £66bn a year""
#tomorrowspaperstoday #bbcpapers
(via @suttonnick)
https://t…",181706423,en,Pacific Time (US & Canada),,2016-10-10 22:21:04.502472,2016-10-10 22:21:04
104,RT @DaftLimmy: A hard brexit right up the shiter.,422492180,en,,,2016-10-10 22:21:04.912622,2016-10-10 22:21:04
105,"RT @JohnTwelvetrees: How, in a Parliamentary democracy, can a parliamentary vote be the ""back door""? https://t.co/JdSB1rfUdR",3266673671,en,,,2016-10-10 22:21:06.549094,2016-10-10 22:21:06
106,"RT @BBCNewsnight: Tories don’t have a mandate to decide how to negotiate #Brexit among themselves, @EmilyThornberry tells #Newsnight https:…",164226176,en,,,2016-10-10 22:21:08.883337,2016-10-10 22:21:08
107,"RT @SkyNews: Recent fears over the plunging value of the pound post #Brexit are ""over the top"" says a former Bank of England boss https://t…",82124296,en,,,2016-10-10 22:21:09.965343,2016-10-10 22:21:09
108,RT @SamCoatesTimes: Tonight's Times p1 reveals a leak of part of cabinet discussion paper on what would happen to the economy of Brexit… ,132589841,en,London,,2016-10-10 22:21:10.069673,2016-10-10 22:21:09
109,RT @Redpeter99: I really admire @Anna_Soubry. Courageous and principled. One of the few who understands the gravity of Brexit.,766439234,en,Pacific Time (US & Canada),,2016-10-10 22:21:10.376609,2016-10-10 22:21:10
